destination,passanger,weather,temperature,time,expiration,gender,age,maritalStatus,has_children,education,occupation,income,Bar,CoffeeHouse,CarryAway,RestaurantLessThan20,Restaurant20To50,toCoupon_GEQ15min,toCoupon_GEQ25min,direction_same,Y,Bar_ord,CoffeeHouse_ord,CarryAway_ord,RestaurantLessThan20_ord,Restaurant20To50_ord,age_ord,income_ord,education_ord,Cluster,PC1,PC2
No Urgent Place,Friend(s),Sunny,80,10AM,1d,Male,21,Single,0,Bachelors degree,Student,$100000 or More,4~8,gt8,4~8,gt8,1~3,0,0,0,1,3,4,3,4,2,1,8,4,0,3.4903370737187736,0.39999179728439876
Home,Alone,Sunny,55,6PM,1d,Male,21,Single,0,Bachelors degree,Student,$100000 or More,4~8,gt8,4~8,gt8,1~3,0,0,1,1,3,4,3,4,2,1,8,4,0,3.4903370737187736,0.39999179728439876
Work,Alone,Sunny,55,7AM,1d,Male,21,Single,0,Bachelors degree,Student,$100000 or More,4~8,gt8,4~8,gt8,1~3,1,1,0,1,3,4,3,4,2,1,8,4,0,3.4903370737187736,0.39999179728439876
No Urgent Place,Friend(s),Sunny,80,10AM,1d,Male,21,Single,0,Bachelors degree,Sales & Related,$12500 - $24999,1~3,less1,1~3,1~3,less1,0,0,0,0,2,1,2,2,1,1,1,4,2,-0.4037598884561305,-0.7432919672075289
Home,Alone,Sunny,55,6PM,1d,Male,21,Single,0,Bachelors degree,Sales & Related,$12500 - $24999,1~3,less1,1~3,1~3,less1,0,0,1,1,2,1,2,2,1,1,1,4,2,-0.4037598884561305,-0.7432919672075289
Work,Alone,Sunny,55,7AM,1d,Male,21,Single,0,Bachelors degree,Sales & Related,$12500 - $24999,1~3,less1,1~3,1~3,less1,1,1,0,1,2,1,2,2,1,1,1,4,2,-0.4037598884561305,-0.7432919672075289
No Urgent Place,Partner,Sunny,80,10AM,2h,Male,36,Married partner,0,Associates degree,Protective Service,$100000 or More,4~8,never,4~8,4~8,1~3,0,0,0,0,3,0,3,3,2,4,8,3,3,1.4351139048361579,0.9666128874422497
No Urgent Place,Partner,Sunny,80,6PM,1d,Male,36,Married partner,0,Associates degree,Protective Service,$100000 or More,4~8,never,4~8,4~8,1~3,1,0,0,1,3,0,3,3,2,4,8,3,3,1.4351139048361579,0.9666128874422497
Home,Alone,Sunny,55,6PM,1d,Male,36,Married partner,0,Associates degree,Protective Service,$100000 or More,4~8,never,4~8,4~8,1~3,0,0,1,1,3,0,3,3,2,4,8,3,3,1.4351139048361579,0.9666128874422497
Work,Alone,Sunny,55,7AM,1d,Male,36,Married partner,0,Associates degree,Protective Service,$100000 or More,4~8,never,4~8,4~8,1~3,1,1,0,1,3,0,3,3,2,4,8,3,3,1.4351139048361579,0.9666128874422497
No Urgent Place,Partner,Sunny,80,10AM,2h,Female,26,Married partner,0,Associates degree,Management,$12500 - $24999,never,less1,gt8,4~8,never,0,0,0,0,0,1,4,3,0,2,1,3,2,-0.24574480999368994,-1.0930073341604611
No Urgent Place,Partner,Sunny,80,6PM,1d,Female,26,Married partner,0,Associates degree,Management,$12500 - $24999,never,less1,gt8,4~8,never,1,0,0,1,0,1,4,3,0,2,1,3,2,-0.24574480999368994,-1.0930073341604611
Home,Alone,Sunny,55,6PM,1d,Female,26,Married partner,0,Associates degree,Management,$12500 - $24999,never,less1,gt8,4~8,never,0,0,1,0,0,1,4,3,0,2,1,3,2,-0.24574480999368994,-1.0930073341604611
Work,Alone,Sunny,55,7AM,1d,Female,26,Married partner,0,Associates degree,Management,$12500 - $24999,never,less1,gt8,4~8,never,1,1,0,0,0,1,4,3,0,2,1,3,2,-0.24574480999368994,-1.0930073341604611
No Urgent Place,Friend(s),Sunny,80,10AM,1d,Male,21,Single,0,Graduate degree (Masters or Doctorate),Computer & Mathematical,$50000 - $62499,never,never,1~3,less1,never,0,0,0,0,0,0,2,1,0,1,4,5,2,-2.2749527571790336,0.6870838063452801
Home,Alone,Sunny,55,6PM,1d,Male,21,Single,0,Graduate degree (Masters or Doctorate),Computer & Mathematical,$50000 - $62499,never,never,1~3,less1,never,0,0,1,0,0,0,2,1,0,1,4,5,2,-2.2749527571790336,0.6870838063452801
Work,Alone,Sunny,55,7AM,1d,Male,21,Single,0,Graduate degree (Masters or Doctorate),Computer & Mathematical,$50000 - $62499,never,never,1~3,less1,never,1,1,0,0,0,0,2,1,0,1,4,5,2,-2.2749527571790336,0.6870838063452801
No Urgent Place,Friend(s),Sunny,80,10AM,1d,Female,41,Single,1,Some college - no degree,Office & Administrative Support,$25000 - $37499,less1,less1,less1,less1,never,0,0,0,1,1,1,1,1,0,5,2,2,1,-2.50094199085672,-0.3859184521677781
Home,Alone,Sunny,55,6PM,1d,Female,41,Single,1,Some college - no degree,Office & Administrative Support,$25000 - $37499,less1,less1,less1,less1,never,0,0,1,1,1,1,1,1,0,5,2,2,1,-2.50094199085672,-0.3859184521677781
Work,Alone,Sunny,55,7AM,1d,Female,41,Single,1,Some college - no degree,Office & Administrative Support,$25000 - $37499,less1,less1,less1,less1,never,1,1,0,1,1,1,1,1,0,5,2,2,1,-2.50094199085672,-0.3859184521677781
No Urgent Place,Partner,Sunny,80,10AM,2h,Male,50plus,Married partner,1,Some college - no degree,Computer & Mathematical,$50000 - $62499,never,gt8,never,4~8,less1,0,0,0,0,0,4,0,3,1,7,4,2,1,-0.541339437251246,0.6267944105033221
No Urgent Place,Partner,Sunny,80,6PM,1d,Male,50plus,Married partner,1,Some college - no degree,Computer & Mathematical,$50000 - $62499,never,gt8,never,4~8,less1,1,0,0,0,0,4,0,3,1,7,4,2,1,-0.541339437251246,0.6267944105033221
Home,Alone,Sunny,55,6PM,1d,Male,50plus,Married partner,1,Some college - no degree,Computer & Mathematical,$50000 - $62499,never,gt8,never,4~8,less1,0,0,1,0,0,4,0,3,1,7,4,2,1,-0.541339437251246,0.6267944105033221
Work,Alone,Sunny,55,7AM,1d,Male,50plus,Married partner,1,Some college - no degree,Computer & Mathematical,$50000 - $62499,never,gt8,never,4~8,less1,1,1,0,0,0,4,0,3,1,7,4,2,1,-0.541339437251246,0.6267944105033221
No Urgent Place,Friend(s),Sunny,80,10AM,1d,Female,31,Single,0,Bachelors degree,Sales & Related,$25000 - $37499,4~8,1~3,1~3,4~8,1~3,0,0,0,1,3,2,2,3,2,3,2,4,0,1.3895431738291797,-0.2004536445125328
Home,Alone,Sunny,55,6PM,1d,Female,31,Single,0,Bachelors degree,Sales & Related,$25000 - $37499,4~8,1~3,1~3,4~8,1~3,0,0,1,1,3,2,2,3,2,3,2,4,0,1.3895431738291797,-0.2004536445125328
Work,Alone,Sunny,55,7AM,1d,Female,31,Single,0,Bachelors degree,Sales & Related,$25000 - $37499,4~8,1~3,1~3,4~8,1~3,1,1,0,0,3,2,2,3,2,3,2,4,0,1.3895431738291797,-0.2004536445125328
No Urgent Place,Kid(s),Sunny,80,10AM,1d,Female,31,Married partner,1,Some college - no degree,Education&Training&Library,$50000 - $62499,less1,1~3,4~8,4~8,less1,1,0,0,0,1,2,3,3,1,3,4,2,0,0.5911073151114561,-0.6608381815849259
Home,Alone,Sunny,55,6PM,1d,Female,31,Married partner,1,Some college - no degree,Education&Training&Library,$50000 - $62499,less1,1~3,4~8,4~8,less1,0,0,1,1,1,2,3,3,1,3,4,2,0,0.5911073151114561,-0.6608381815849259
Work,Alone,Sunny,55,7AM,1d,Female,31,Married partner,1,Some college - no degree,Education&Training&Library,$50000 - $62499,less1,1~3,4~8,4~8,less1,1,1,0,1,1,2,3,3,1,3,4,2,0,0.5911073151114561,-0.6608381815849259
No Urgent Place,Friend(s),Sunny,80,10AM,1d,Female,21,Single,0,Some college - no degree,Management,$25000 - $37499,4~8,less1,gt8,1~3,1~3,0,0,0,0,3,1,4,2,2,1,2,2,0,1.2838119885390749,-1.8312983275465204
Home,Alone,Sunny,55,6PM,1d,Female,21,Single,0,Some college - no degree,Management,$25000 - $37499,4~8,less1,gt8,1~3,1~3,0,0,1,1,3,1,4,2,2,1,2,2,0,1.2838119885390749,-1.8312983275465204
Work,Alone,Sunny,55,7AM,1d,Female,21,Single,0,Some college - no degree,Management,$25000 - $37499,4~8,less1,gt8,1~3,1~3,1,1,0,1,3,1,4,2,2,1,2,2,0,1.2838119885390749,-1.8312983275465204
No Urgent Place,Kid(s),Sunny,80,10AM,1d,Female,50plus,Married partner,1,Some college - no degree,Transportation & Material Moving,$75000 - $87499,never,never,4~8,gt8,less1,1,0,0,0,0,0,3,4,1,7,6,2,3,0.17954497494398006,1.0430156987285495
Home,Alone,Sunny,55,6PM,1d,Female,50plus,Married partner,1,Some college - no degree,Transportation & Material Moving,$75000 - $87499,never,never,4~8,gt8,less1,0,0,1,0,0,0,3,4,1,7,6,2,3,0.17954497494398006,1.0430156987285495
Work,Alone,Sunny,55,7AM,1d,Female,50plus,Married partner,1,Some college - no degree,Transportation & Material Moving,$75000 - $87499,never,never,4~8,gt8,less1,1,1,0,0,0,0,3,4,1,7,6,2,3,0.17954497494398006,1.0430156987285495
No Urgent Place,Friend(s),Sunny,80,10AM,1d,Female,21,Single,0,Bachelors degree,Arts Design Entertainment Sports & Media,$12500 - $24999,4~8,4~8,4~8,4~8,less1,0,0,0,0,3,3,3,3,1,1,1,4,0,1.6275428218546633,-1.2035040366063576
Home,Alone,Sunny,55,6PM,1d,Female,21,Single,0,Bachelors degree,Arts Design Entertainment Sports & Media,$12500 - $24999,4~8,4~8,4~8,4~8,less1,0,0,1,0,3,3,3,3,1,1,1,4,0,1.6275428218546633,-1.2035040366063576
Work,Alone,Sunny,55,7AM,1d,Female,21,Single,0,Bachelors degree,Arts Design Entertainment Sports & Media,$12500 - $24999,4~8,4~8,4~8,4~8,less1,1,1,0,1,3,3,3,3,1,1,1,4,0,1.6275428218546633,-1.2035040366063576
No Urgent Place,Partner,Sunny,80,10AM,2h,Female,21,Unmarried partner,0,Bachelors degree,Management,$12500 - $24999,1~3,gt8,gt8,1~3,less1,0,0,0,0,2,4,4,2,1,1,1,4,0,1.4924106138016062,-1.3458870135983554
No Urgent Place,Partner,Sunny,80,6PM,1d,Female,21,Unmarried partner,0,Bachelors degree,Management,$12500 - $24999,1~3,gt8,gt8,1~3,less1,1,0,0,1,2,4,4,2,1,1,1,4,0,1.4924106138016062,-1.3458870135983554
Home,Alone,Sunny,55,6PM,1d,Female,21,Unmarried partner,0,Bachelors degree,Management,$12500 - $24999,1~3,gt8,gt8,1~3,less1,0,0,1,1,2,4,4,2,1,1,1,4,0,1.4924106138016062,-1.3458870135983554
Work,Alone,Sunny,55,7AM,1d,Female,21,Unmarried partner,0,Bachelors degree,Management,$12500 - $24999,1~3,gt8,gt8,1~3,less1,1,1,0,1,2,4,4,2,1,1,1,4,0,1.4924106138016062,-1.3458870135983554
No Urgent Place,Partner,Sunny,80,10AM,2h,Female,21,Unmarried partner,0,Some college - no degree,Unemployed,$12500 - $24999,1~3,less1,1~3,1~3,less1,0,0,0,0,2,1,2,2,1,1,1,2,2,-0.5542458084424698,-1.6975456567871972
No Urgent Place,Partner,Sunny,80,6PM,1d,Female,21,Unmarried partner,0,Some college - no degree,Unemployed,$12500 - $24999,1~3,less1,1~3,1~3,less1,1,0,0,1,2,1,2,2,1,1,1,2,2,-0.5542458084424698,-1.6975456567871972
Home,Alone,Sunny,55,6PM,1d,Female,21,Unmarried partner,0,Some college - no degree,Unemployed,$12500 - $24999,1~3,less1,1~3,1~3,less1,0,0,1,1,2,1,2,2,1,1,1,2,2,-0.5542458084424698,-1.6975456567871972
Work,Alone,Sunny,55,7AM,1d,Female,21,Unmarried partner,0,Some college - no degree,Unemployed,$12500 - $24999,1~3,less1,1~3,1~3,less1,1,1,0,1,2,1,2,2,1,1,1,2,2,-0.5542458084424698,-1.6975456567871972
No Urgent Place,Friend(s),Sunny,80,10AM,1d,Female,46,Single,1,Graduate degree (Masters or Doctorate),Management,$75000 - $87499,never,never,gt8,4~8,less1,0,0,0,0,0,0,4,3,1,6,6,5,3,0.30542750787152,2.075761519600238
Home,Alone,Sunny,55,6PM,1d,Female,46,Single,1,Graduate degree (Masters or Doctorate),Management,$75000 - $87499,never,never,gt8,4~8,less1,0,0,1,0,0,0,4,3,1,6,6,5,3,0.30542750787152,2.075761519600238
Work,Alone,Sunny,55,7AM,1d,Female,46,Single,1,Graduate degree (Masters or Doctorate),Management,$75000 - $87499,never,never,gt8,4~8,less1,1,1,0,0,0,0,4,3,1,6,6,5,3,0.30542750787152,2.075761519600238
No Urgent Place,Friend(s),Sunny,80,10AM,1d,Male,21,Single,0,Some college - no degree,Student,$100000 or More,less1,less1,1~3,less1,never,0,0,0,0,1,1,2,1,0,1,8,2,2,-1.5882062124116259,-0.05698097314725375
Home,Alone,Sunny,55,6PM,1d,Male,21,Single,0,Some college - no degree,Student,$100000 or More,less1,less1,1~3,less1,never,0,0,1,1,1,1,2,1,0,1,8,2,2,-1.5882062124116259,-0.05698097314725375
Work,Alone,Sunny,55,7AM,1d,Male,21,Single,0,Some college - no degree,Student,$100000 or More,less1,less1,1~3,less1,never,1,1,0,1,1,1,2,1,0,1,8,2,2,-1.5882062124116259,-0.05698097314725375
No Urgent Place,Kid(s),Sunny,80,10AM,1d,Male,50plus,Married partner,1,Associates degree,Management,$12500 - $24999,4~8,4~8,4~8,gt8,gt8,1,0,0,1,3,3,3,4,4,7,1,3,0,3.5815060840217594,-0.09346388525151804
Home,Alone,Sunny,55,6PM,1d,Male,50plus,Married partner,1,Associates degree,Management,$12500 - $24999,4~8,4~8,4~8,gt8,gt8,0,0,1,1,3,3,3,4,4,7,1,3,0,3.5815060840217594,-0.09346388525151804
Work,Alone,Sunny,55,7AM,1d,Male,50plus,Married partner,1,Associates degree,Management,$12500 - $24999,4~8,4~8,4~8,gt8,gt8,1,1,0,1,3,3,3,4,4,7,1,3,0,3.5815060840217594,-0.09346388525151804
No Urgent Place,Friend(s),Sunny,80,10AM,1d,Female,26,Single,0,Some college - no degree,Office & Administrative Support,$37500 - $49999,4~8,4~8,4~8,4~8,less1,0,0,0,1,3,3,3,3,1,2,3,2,0,1.571116416549943,-1.4754435844370588
Home,Alone,Sunny,55,6PM,1d,Female,26,Single,0,Some college - no degree,Office & Administrative Support,$37500 - $49999,4~8,4~8,4~8,4~8,less1,0,0,1,1,3,3,3,3,1,2,3,2,0,1.571116416549943,-1.4754435844370588
Work,Alone,Sunny,55,7AM,1d,Female,26,Single,0,Some college - no degree,Office & Administrative Support,$37500 - $49999,4~8,4~8,4~8,4~8,less1,1,1,0,1,3,3,3,3,1,2,3,2,0,1.571116416549943,-1.4754435844370588
No Urgent Place,Kid(s),Sunny,80,10AM,1d,Female,50plus,Married partner,1,Some college - no degree,Education&Training&Library,$25000 - $37499,never,less1,gt8,4~8,less1,1,0,0,0,0,1,4,3,1,7,2,2,1,0.14611975679050834,-0.14835697691694827
Home,Alone,Sunny,55,6PM,1d,Female,50plus,Married partner,1,Some college - no degree,Education&Training&Library,$25000 - $37499,never,less1,gt8,4~8,less1,0,0,1,0,0,1,4,3,1,7,2,2,1,0.14611975679050834,-0.14835697691694827
Work,Alone,Sunny,55,7AM,1d,Female,50plus,Married partner,1,Some college - no degree,Education&Training&Library,$25000 - $37499,never,less1,gt8,4~8,less1,1,1,0,0,0,1,4,3,1,7,2,2,1,0.14611975679050834,-0.14835697691694827
No Urgent Place,Friend(s),Sunny,80,10AM,1d,Male,50plus,Single,0,Some college - no degree,Office & Administrative Support,$12500 - $24999,1~3,1~3,less1,1~3,less1,0,0,0,1,2,2,1,2,1,7,1,2,1,-0.8274113315186178,-0.3018454948195133
Home,Alone,Sunny,55,6PM,1d,Male,50plus,Single,0,Some college - no degree,Office & Administrative Support,$12500 - $24999,1~3,1~3,less1,1~3,less1,0,0,1,1,2,2,1,2,1,7,1,2,1,-0.8274113315186178,-0.3018454948195133
Work,Alone,Sunny,55,7AM,1d,Male,50plus,Single,0,Some college - no degree,Office & Administrative Support,$12500 - $24999,1~3,1~3,less1,1~3,less1,1,1,0,0,2,2,1,2,1,7,1,2,1,-0.8274113315186178,-0.3018454948195133
No Urgent Place,Kid(s),Sunny,80,10AM,1d,Female,41,Married partner,1,Bachelors degree,Legal,$100000 or More,never,1~3,1~3,1~3,less1,1,0,0,0,0,2,2,2,1,5,8,4,3,-0.4382327997327579,1.9207438451785903
Home,Alone,Sunny,55,6PM,1d,Female,41,Married partner,1,Bachelors degree,Legal,$100000 or More,never,1~3,1~3,1~3,less1,0,0,1,0,0,2,2,2,1,5,8,4,3,-0.4382327997327579,1.9207438451785903
Work,Alone,Sunny,55,7AM,1d,Female,41,Married partner,1,Bachelors degree,Legal,$100000 or More,never,1~3,1~3,1~3,less1,1,1,0,0,0,2,2,2,1,5,8,4,3,-0.4382327997327579,1.9207438451785903
No Urgent Place,Kid(s),Sunny,80,10AM,1d,Male,46,Married partner,1,Bachelors degree,Management,$100000 or More,4~8,never,4~8,4~8,1~3,1,0,0,0,3,0,3,3,2,6,8,4,3,1.4589310882981499,1.8908372850365547
Home,Alone,Sunny,55,6PM,1d,Male,46,Married partner,1,Bachelors degree,Management,$100000 or More,4~8,never,4~8,4~8,1~3,0,0,1,1,3,0,3,3,2,6,8,4,3,1.4589310882981499,1.8908372850365547
Work,Alone,Sunny,55,7AM,1d,Male,46,Married partner,1,Bachelors degree,Management,$100000 or More,4~8,never,4~8,4~8,1~3,1,1,0,1,3,0,3,3,2,6,8,4,3,1.4589310882981499,1.8908372850365547
No Urgent Place,Kid(s),Sunny,80,10AM,1d,Female,26,Married partner,1,Bachelors degree,Architecture & Engineering,$37500 - $49999,never,1~3,1~3,1~3,less1,1,0,0,1,0,2,2,2,1,2,3,4,2,-0.6605251423040105,0.10318410260505531
Home,Alone,Sunny,55,6PM,1d,Female,26,Married partner,1,Bachelors degree,Architecture & Engineering,$37500 - $49999,never,1~3,1~3,1~3,less1,0,0,1,0,0,2,2,2,1,2,3,4,2,-0.6605251423040105,0.10318410260505531
Work,Alone,Sunny,55,7AM,1d,Female,26,Married partner,1,Bachelors degree,Architecture & Engineering,$37500 - $49999,never,1~3,1~3,1~3,less1,1,1,0,0,0,2,2,2,1,2,3,4,2,-0.6605251423040105,0.10318410260505531
No Urgent Place,Partner,Sunny,80,10AM,2h,Male,41,Divorced,1,Some college - no degree,Transportation & Material Moving,$50000 - $62499,less1,less1,1~3,1~3,1~3,0,0,0,0,1,1,2,2,2,5,4,2,1,-0.28290478624630566,0.0909071021506827
No Urgent Place,Partner,Sunny,80,6PM,1d,Male,41,Divorced,1,Some college - no degree,Transportation & Material Moving,$50000 - $62499,less1,less1,1~3,1~3,1~3,1,0,0,0,1,1,2,2,2,5,4,2,1,-0.28290478624630566,0.0909071021506827
Home,Alone,Sunny,55,6PM,1d,Male,41,Divorced,1,Some college - no degree,Transportation & Material Moving,$50000 - $62499,less1,less1,1~3,1~3,1~3,0,0,1,0,1,1,2,2,2,5,4,2,1,-0.28290478624630566,0.0909071021506827
Work,Alone,Sunny,55,7AM,1d,Male,41,Divorced,1,Some college - no degree,Transportation & Material Moving,$50000 - $62499,less1,less1,1~3,1~3,1~3,1,1,0,0,1,1,2,2,2,5,4,2,1,-0.28290478624630566,0.0909071021506827
No Urgent Place,Kid(s),Sunny,80,10AM,1d,Female,41,Married partner,1,Bachelors degree,Education&Training&Library,$100000 or More,less1,1~3,1~3,4~8,less1,1,0,0,0,1,2,2,3,1,5,8,4,3,0.47914524791991675,1.8112073029034035
Home,Alone,Sunny,55,6PM,1d,Female,41,Married partner,1,Bachelors degree,Education&Training&Library,$100000 or More,less1,1~3,1~3,4~8,less1,0,0,1,1,1,2,2,3,1,5,8,4,3,0.47914524791991675,1.8112073029034035
Work,Alone,Sunny,55,7AM,1d,Female,41,Married partner,1,Bachelors degree,Education&Training&Library,$100000 or More,less1,1~3,1~3,4~8,less1,1,1,0,0,1,2,2,3,1,5,8,4,3,0.47914524791991675,1.8112073029034035
No Urgent Place,Friend(s),Sunny,80,10AM,1d,Male,21,Single,0,Bachelors degree,Computer & Mathematical,$87500 - $99999,1~3,1~3,1~3,4~8,1~3,0,0,0,1,2,2,2,3,2,1,7,4,3,1.399148161934376,0.6308211840098616
Home,Alone,Sunny,55,6PM,1d,Male,21,Single,0,Bachelors degree,Computer & Mathematical,$87500 - $99999,1~3,1~3,1~3,4~8,1~3,0,0,1,1,2,2,2,3,2,1,7,4,3,1.399148161934376,0.6308211840098616
Work,Alone,Sunny,55,7AM,1d,Male,21,Single,0,Bachelors degree,Computer & Mathematical,$87500 - $99999,1~3,1~3,1~3,4~8,1~3,1,1,0,0,2,2,2,3,2,1,7,4,3,1.399148161934376,0.6308211840098616
No Urgent Place,Friend(s),Sunny,80,10AM,1d,Male,36,Single,0,Some college - no degree,Sales & Related,$50000 - $62499,never,never,less1,4~8,less1,0,0,0,0,0,0,1,3,1,4,4,2,1,-1.3403490481473685,0.19800860131171621
Home,Alone,Sunny,55,6PM,1d,Male,36,Single,0,Some college - no degree,Sales & Related,$50000 - $62499,never,never,less1,4~8,less1,0,0,1,0,0,0,1,3,1,4,4,2,1,-1.3403490481473685,0.19800860131171621
Work,Alone,Sunny,55,7AM,1d,Male,36,Single,0,Some college - no degree,Sales & Related,$50000 - $62499,never,never,less1,4~8,less1,1,1,0,0,0,0,1,3,1,4,4,2,1,-1.3403490481473685,0.19800860131171621
No Urgent Place,Kid(s),Sunny,80,10AM,1d,Female,50plus,Married partner,1,Bachelors degree,Education&Training&Library,$50000 - $62499,never,never,less1,less1,less1,1,0,0,0,0,0,1,1,1,7,4,4,1,-2.419254296675144,1.7790637687283903
Home,Alone,Sunny,55,6PM,1d,Female,50plus,Married partner,1,Bachelors degree,Education&Training&Library,$50000 - $62499,never,never,less1,less1,less1,0,0,1,0,0,0,1,1,1,7,4,4,1,-2.419254296675144,1.7790637687283903
Work,Alone,Sunny,55,7AM,1d,Female,50plus,Married partner,1,Bachelors degree,Education&Training&Library,$50000 - $62499,never,never,less1,less1,less1,1,1,0,0,0,0,1,1,1,7,4,4,1,-2.419254296675144,1.7790637687283903
No Urgent Place,Friend(s),Sunny,80,10AM,1d,Female,26,Single,0,Associates degree,Unemployed,Less than $12500,1~3,less1,4~8,less1,4~8,0,0,0,1,2,1,3,1,3,2,0,3,0,0.3814103597573653,-1.2520373806664646
Home,Alone,Sunny,55,6PM,1d,Female,26,Single,0,Associates degree,Unemployed,Less than $12500,1~3,less1,4~8,less1,4~8,0,0,1,1,2,1,3,1,3,2,0,3,0,0.3814103597573653,-1.2520373806664646
Work,Alone,Sunny,55,7AM,1d,Female,26,Single,0,Associates degree,Unemployed,Less than $12500,1~3,less1,4~8,less1,4~8,1,1,0,1,2,1,3,1,3,2,0,3,0,0.3814103597573653,-1.2520373806664646
No Urgent Place,Friend(s),Sunny,80,10AM,1d,Male,below21,Single,0,Some college - no degree,Student,$50000 - $62499,never,1~3,4~8,4~8,less1,0,0,0,0,0,2,3,3,1,0,4,2,2,0.32699418411422215,-1.2000255428315956
Home,Alone,Sunny,55,6PM,1d,Male,below21,Single,0,Some college - no degree,Student,$50000 - $62499,never,1~3,4~8,4~8,less1,0,0,1,0,0,2,3,3,1,0,4,2,2,0.32699418411422215,-1.2000255428315956
Work,Alone,Sunny,55,7AM,1d,Male,below21,Single,0,Some college - no degree,Student,$50000 - $62499,never,1~3,4~8,4~8,less1,1,1,0,0,0,2,3,3,1,0,4,2,2,0.32699418411422215,-1.2000255428315956
No Urgent Place,Kid(s),Sunny,80,10AM,1d,Female,50plus,Married partner,1,Bachelors degree,Life Physical Social Science,$50000 - $62499,less1,never,4~8,less1,less1,1,0,0,0,1,0,3,1,1,7,4,4,1,-1.1768684677989114,1.3412777779468978
Home,Alone,Sunny,55,6PM,1d,Female,50plus,Married partner,1,Bachelors degree,Life Physical Social Science,$50000 - $62499,less1,never,4~8,less1,less1,0,0,1,1,1,0,3,1,1,7,4,4,1,-1.1768684677989114,1.3412777779468978
Work,Alone,Sunny,55,7AM,1d,Female,50plus,Married partner,1,Bachelors degree,Life Physical Social Science,$50000 - $62499,less1,never,4~8,less1,less1,1,1,0,1,1,0,3,1,1,7,4,4,1,-1.1768684677989114,1.3412777779468978
No Urgent Place,Friend(s),Sunny,80,10AM,1d,Female,21,Single,0,Bachelors degree,Student,$62500 - $74999,never,less1,1~3,less1,less1,0,0,0,1,0,1,2,1,1,1,5,4,2,-1.4228449260083902,0.41523427372115773
Home,Alone,Sunny,55,6PM,1d,Female,21,Single,0,Bachelors degree,Student,$62500 - $74999,never,less1,1~3,less1,less1,0,0,1,1,0,1,2,1,1,1,5,4,2,-1.4228449260083902,0.41523427372115773
Work,Alone,Sunny,55,7AM,1d,Female,21,Single,0,Bachelors degree,Student,$62500 - $74999,never,less1,1~3,less1,less1,1,1,0,0,0,1,2,1,1,1,5,4,2,-1.4228449260083902,0.41523427372115773
No Urgent Place,Friend(s),Sunny,80,10AM,1d,Male,21,Single,0,Some college - no degree,Computer & Mathematical,$25000 - $37499,less1,1~3,1~3,1~3,less1,0,0,0,1,1,2,2,2,1,1,2,2,2,-0.5039325797043648,-1.4354600140102514
Home,Alone,Sunny,55,6PM,1d,Male,21,Single,0,Some college - no degree,Computer & Mathematical,$25000 - $37499,less1,1~3,1~3,1~3,less1,0,0,1,1,1,2,2,2,1,1,2,2,2,-0.5039325797043648,-1.4354600140102514
Work,Alone,Sunny,55,7AM,1d,Male,21,Single,0,Some college - no degree,Computer & Mathematical,$25000 - $37499,less1,1~3,1~3,1~3,less1,1,1,0,1,1,2,2,2,1,1,2,2,2,-0.5039325797043648,-1.4354600140102514
No Urgent Place,Kid(s),Sunny,80,10AM,1d,Female,31,Divorced,1,High School Graduate,Business & Financial,$25000 - $37499,1~3,less1,1~3,less1,4~8,1,0,0,1,2,1,2,1,3,3,2,1,2,-0.1255830620884717,-1.3708134170864381
Home,Alone,Sunny,55,6PM,1d,Female,31,Divorced,1,High School Graduate,Business & Financial,$25000 - $37499,1~3,less1,1~3,less1,4~8,0,0,1,1,2,1,2,1,3,3,2,1,2,-0.1255830620884717,-1.3708134170864381
Work,Alone,Sunny,55,7AM,1d,Female,31,Divorced,1,High School Graduate,Business & Financial,$25000 - $37499,1~3,less1,1~3,less1,4~8,1,1,0,1,2,1,2,1,3,3,2,1,2,-0.1255830620884717,-1.3708134170864381
No Urgent Place,Kid(s),Sunny,80,10AM,1d,Male,50plus,Married partner,1,Some college - no degree,Computer & Mathematical,$37500 - $49999,1~3,less1,4~8,1~3,1~3,1,0,0,0,2,1,3,2,2,7,3,2,1,0.3976020480840295,0.02399949291102349
Home,Alone,Sunny,55,6PM,1d,Male,50plus,Married partner,1,Some college - no degree,Computer & Mathematical,$37500 - $49999,1~3,less1,4~8,1~3,1~3,0,0,1,1,2,1,3,2,2,7,3,2,1,0.3976020480840295,0.02399949291102349
Work,Alone,Sunny,55,7AM,1d,Male,50plus,Married partner,1,Some college - no degree,Computer & Mathematical,$37500 - $49999,1~3,less1,4~8,1~3,1~3,1,1,0,0,2,1,3,2,2,7,3,2,1,0.3976020480840295,0.02399949291102349
No Urgent Place,Kid(s),Sunny,80,10AM,1d,Male,31,Married partner,1,Some college - no degree,Computer & Mathematical,$37500 - $49999,never,less1,4~8,less1,less1,1,0,0,0,0,1,3,1,1,3,3,2,2,-1.293962008931998,-0.7038507398114979
Home,Alone,Sunny,55,6PM,1d,Male,31,Married partner,1,Some college - no degree,Computer & Mathematical,$37500 - $49999,never,less1,4~8,less1,less1,0,0,1,1,0,1,3,1,1,3,3,2,2,-1.293962008931998,-0.7038507398114979
